item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Carpenter,1.0,6500.0,6500.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Kaye Rod,34.0,180.0,6120.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Polycarbonate Roof Panel(Packs),2.5,4300.0,10750.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Big Nale(kg),3.0,100.0,300.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Small Nale(Packs),3.0,350.0,1050.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Wood for Doors,5.0,300.0,1500.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Cutting Mango Branch and Moving Bricks,1.0,1600.0,1600.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Delivering Guys,1.0,800.0,800.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Residual,1.0,2380.0,2380.0,2023-06-25,Borehole Drilling,Preconstruction,63.0
Consulting Contractors,1.0,4000.0,4000.0,2023-09-25,Contractor Consultation,Preconstruction,61.5
Clearing the Area,1.0,8000.0,8000.0,2023-12-21,Contractor Consultation,Preconstruction,64.0
Transportation ,1.0,2000.0,2000.0,2023-12-21,Contractor Consultation,Preconstruction,64.0
Bubacarr Fai,1.0,2000.0,2000.0,2023-12-20,Contractor Consultation,Preconstruction,64.0
