ITEM,QUALITY ,UNIT PRICE(D),TOTAL COST(D),DATE,
Cement Transport,25,20.00,500.00,10/27/25,
Plywood 12mm,4,"1,725.00","6,900.00",10/27/25,
Cardboard ,3,350.00,"1,050.00",10/27/25,
1 by 2 wood,4,100.00,400.00,10/27/25,
Plywood & cardboard Transport,1,400.00,400.00,10/27/25,
Generator Repair,1,"1,650.00","1,650.00",10/27/25,
six Pilar Iron Man,1,"2,500.00","2,500.00",10/28/25,
Momo Waggeh's Salary ,1,"4,000.00","4,000.00",10/31/25,
Workers Bathroom Plumbing Materials +Trans,1,"5,975.00","5,975.00",11/1/25,
Four Pillars Mold,3,"1,000.00","3,000.00",11/1/25,
Four Pillars Mold Transport ,2,500.00,"1,000.00",11/1/25,
1 by 2 wood,5,100.00,500.00,11/3/25,
Nail(kg) 3 in,1,100.00,100.00,11/3/25,
1 by 6 Wood,2,400.00,800.00,11/4/25,
Nail(kg) 3 in,3,100.00,300.00,11/4/25,
Bathroom Plumbing Materials,1,500.00,500.00,11/4/25,
Borehole Pile,1,"2,050.00","2,050.00",11/4/25,
Cement,25,480.00,"12,000.00",11/4/25,
Cement Transport,25,20.00,500.00,11/4/25,
Joins For Plumbing ,2,150.00,300.00,11/4/25,
Tube for Plumbing(15mm),15,50.00,750.00,11/4/25,11681
Soft Plywood ,1,"1,000.00","1,000.00",11/4/25,"133,889"
Plywood Transport ,1,400.00,400.00,11/4/25,
Plumber Fees,1,"4,500.00","4,500.00",11/5/25,
Wave Fees,1,120.00,120.00,11/5/25,
Scarfing ,3,450.00,"1,350.00",11/6/25,
Scarfing Transport ,1,400.00,400.00,11/6/25,
1 by 2 wood,5,100.00,500.00,11/7/25,
1 by 2 wood Transport ,1,300.00,300.00,11/7/25,
Bathroom Manual and plastering the floor,1,"2,500.00","2,500.00",11/7/25,
Pilar Mold Rental ,4,"2,000.00","8,000.00",11/11/25,
Balcony Extension ,1,"2,000.00","2,000.00",11/14/25,
Contractor Momodou Njaye Payment,1,"10,000.00","10,000.00",11/14/25,
Bathroom Door ,1,"2,600.00","2,600.00",,
Ali Salary ,1,"5,500.00","5,500.00",,
Scarfing + Acro Jack,1,"2,994.00","2,994.00",11/17/25,
Scarfing + Acro Jack Transport ,1,"1,000.00","1,000.00",11/17/25,
Miss Calculation,1,500.00,500.00,12/17/25,
,,,,,
,,,,,
,,,,,
TOTAL:,,,"891,969.00",,
,,,,,
,,,,,
To Buba Tunkara,1,"20,000.00","20,000.00",10/9/2025,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"On 08/26/25, from Tata",,"$294,000","$4,000",$1 = 73.50,
,,,,,
"On 9/09/25, from Awa",,"$367,500","$5,000",$1 = 73.50,
,,,,,
"On 9/21/25, from Tata",,"$147,200","$2,000",$1 = 73.60,
,,,,,
"On 10/26/25, from Awa",,"148,000.00","$2,000",$1 = 74.00,
,,,,,
On,,,,,
,,,,,
TOTAL AMOUNT GIVING TO DATE,,"956,700.00","$13,000",,
,,,,,
,,,,,
TOTAL AMOUNT SPENT,,,"911,969.00",,
,,,,,
REMAINING BALANCE IN HAND,,,"911,969.00",,
